C[C@@H]1CN(C(=O)C(=O)N[C@H](C)c2ccccc2)c2ccccc2O1,ZINC000264758468,DFADRN
CC[C@@H](F)CN1CCC[C@@H](NC(=O)c2ccc(F)cc2)C1,ZINC001006585845,CFADRN
C[C@@H](Cc1ccc(C#N)cc1)C(=O)NCCOc1ccccc1,ZINC000593946451,DFEDRN
CC1(C)CCN(Cc2cccc(C(=O)NCc3ccco3)c2)CC[S@]1=O,ZINC000451761708,FFADRN
CC(C)COc1ncccc1C(=O)N1CC[C@@H](O)C1,ZINC000266914278,CDADRN
CO[C@H](CNC(=O)CNC(=O)c1cc(C)cc(C)c1)C(C)C,ZINC000266790661,DDADRN
C=CCCCOC(=O)c1ccc(OC)c(OC)c1,ZINC000117992921,CFEDRN
CC(C)(C)/C=C\C(=O)NC[C@]1(O)CCCc2ccccc21,ZINC000743757827,CFADRN
COC(=O)[C@@]1(C)CCN(C(=O)c2ccc(C)nc2OC)C1,ZINC000330709515,CDADRN
C/C=C\c1ccc(OCC(=O)N2CC[C@H](C)C[C@@H]2C(=O)OC)c(OC)c1,ZINC000479610963,FFADRN
COc1ccccc1[C@H](C)NC(=O)COC(=O)Cc1ccc(F)c(F)c1,ZINC000756629658,FFADRN
Cc1ccccc1Cc1nnn(C[C@@H]2C[C@@H]3COC[C@H]3O2)n1,ZINC000901519478,DDADRN
COCc1ccc(CNC(=O)C(=O)NCCC(C)(C)C)cc1,ZINC001257199949,DEADRN
O=C(Cc1ccc(F)cc1Cl)OCCN1C(=O)CCC1=O,ZINC000768072640,DDADRN
Cc1ccc(C2=NO[C@H](C(=O)N3CC[C@@H](c4ccncc4)C3)C2)cc1,ZINC000908267285,EFADRN
CC(C)[C@@H]1CCC[C@@H](NC(=O)C(=O)NCc2ccc(F)cc2)C1,ZINC000173536445,DFADRN
CCN=c1[nH]cc(C(=O)N[C@@H](C)COc2c(C)cccc2C)s1,ZINC000433092277,EFADRN
COc1ccc(C)cc1C(=O)COC(=O)[C@H](C)N1CCCCCC1,ZINC000741030089,EFADRN
CCc1ccc(N2CCN(S(=O)(=O)c3cnn(C)c3)CC2)cc1,ZINC000266337228,EDADRN
CC#CCCCC(=O)N(C)CCNC(=O)c1cn(C)nc1CC,ZINC001284537626,DDEDRN
O=C(N[C@@H]1CCC2(C1)OCCO2)[C@H]1Cc2ccc(Cl)cc21,ZINC001361573803,DEADRN
O=C(/C=C\c1cc(Cl)c2c(c1)OCO2)N1CCC(O)CC1,ZINC000490703558,DEADRN
COCCCn1nccc1CN[C@@H]1COc2ccc(C)cc21,ZINC000366990201,DEADRN
COC(=O)c1cncnc1OC(C(F)(F)F)C(F)(F)F,ZINC000379597200,DEADRN
COc1ccc(C(=O)N[C@H]2CC[C@H](CNC(C)=O)CC2)cc1F,ZINC000963974622,DEADRN
COCCCOCC(=O)Oc1c(C)cc(OC)cc1C,ZINC000824103056,CEADRN
COc1ccc([C@@H]2NC(=O)N([C@H](C)COCC(F)(F)F)C2=O)cc1F,ZINC000277874549,FEADRN
CC(C)S(=O)(=O)c1cccc(C(=O)N2CC(N3CCOCC3)C2)c1,ZINC000911640266,FDADRN
C=C(C)Cn1c(C[C@@](C)(O)c2ccccc2)nnc1N1CC(C)(OC)C1,ZINC001343039358,FFEDRN
C[C@H]1CCN(c2ncc(Cl)cn2)C[C@H]1NC(=O)C1CC=CC1,ZINC001067946019,DEADRN
C[C@H]1CN(C(=O)c2ccc(C(=O)N3CCOCC3)cc2)CCC1(F)F,ZINC000529404316,FEADRN
CCN1OC[C@@H](N2CCO[C@@H](c3cc(F)c(Cl)cc3Cl)C2)C1=O,ZINC000682677921,FFADRN
COc1ccc(C(=O)N[C@H](C)C(=O)Cc2ccccc2)cn1,ZINC000341930187,CEADRN
CCOCC(=O)N(C)CCCN(C)C(=O)c1ccc(C)c(C)n1,ZINC001066722018,DDADRN
CO[C@@H]1CCCC[C@@H]1C(=O)N[C@H]1c2ccccc2O[C@H]1C,ZINC000294453521,CFADRN
C[C@@H]1C(=O)N(C[C@H]2Cc3ccccc3O2)C(=O)N1C1CCC1,ZINC000349235458,DEADRN
Nc1cccc(CC(=O)N[C@@H](C2CCC2)[C@@H]2CCCO2)c1Cl,ZINC000638997269,DFADRN
COc1ccc(OC)c(C(=O)N[C@@H]2CN(Cc3cccnc3C)C[C@H]2C)c1,ZINC001080919035,FFADMN
C[C@@H](NCCc1ccc(F)c(F)c1)c1nncn1C,ZINC000352325370,CDADMN
O=C(CCc1ccccc1)NC1CN(C(=O)c2csc(Cl)n2)C1,ZINC001409107197,EEADRN
CCCn1cc(CN[C@@H](C)c2ccc(F)cc2C)nn1,ZINC000922665816,CFADRN
C[C@H]1[C@H](C(F)(F)F)CCN1C(=O)Cc1ccncc1,ZINC000335795157,CEADRN
CON(CC(=O)Nc1ccc2c(c1)OCO2)Cc1ccccc1,ZINC000780346027,DEADRN
C[C@H]1CN(C(=O)C(=O)Nc2ccc(Cl)c(C(F)(F)F)c2)CCCO1,ZINC000171357895,FFADRN
C=CCN1C(=O)CC[C@@H]2[C@H]1CCN2C(=O)c1c(F)c(C)nn1C,ZINC001271971640,DDEDRN
O=C(NCCc1c[nH]c2ccc(Cl)cc12)C1CN(CC(F)(F)F)C1,ZINC000499255641,FFADRN
COc1ccc(CN2CCN(Cc3nc(C)no3)CC2)cc1OC,ZINC000022932536,EDAARN
